Title,Year_of_Release,Duration,Genre,Points_Rating,Meta_score,Director,Actors,Votes,Gross
Green Book,2018,130 min,"
Biography, Comedy, Drama            ",T,69        ,"
Peter Farrelly
","['', 'Viggo Mortensen ', 'Mahershala Ali ', 'Linda Cardellini ', 'Sebastian Maniscalco', '']","
391,302
","
$85.08M
"
Little Miss Sunshine,2006,101 min,"
Comedy, Drama            ",T,80        ,"
Jonathan Dayton, 
Valerie Faris
","['', 'Steve Carell ', 'Toni Collette ', 'Greg Kinnear ', 'Abigail Breslin', '']","
442,928
","
$59.89M
"
Fronte del porto,1954,108 min,"
Crime, Drama, Thriller            ",T,91        ,"
Elia Kazan
","['', 'Marlon Brando ', 'Karl Malden ', 'Lee J. Cobb ', 'Rod Steiger', '']","
143,299
","
$9.60M
"
Interstellar,2014,169 min,"
Adventure, Drama, Sci-Fi            ",T,74        ,"
Christopher Nolan
","['', 'Matthew McConaughey ', 'Anne Hathaway ', 'Jessica Chastain ', 'Mackenzie Foy', '']","
1,534,581
","
$188.02M
"
Birdman o (L'imprevedibile virtù dell'ignoranza),2014,119 min,"
Comedy, Drama            ",T,87        ,"
Alejandro G. Iñárritu
","['', 'Michael Keaton ', 'Zach Galifianakis ', 'Edward Norton ', 'Andrea Riseborough', '']","
584,955
","
$42.34M
"
Apocalypto,2006,139 min,"
Action, Adventure, Drama            ",T,68        ,"
Mel Gibson
","['', 'Gerardo Taracena ', 'Raoul Max Trujillo ', 'Dalia Hernández ', 'Rudy Youngblood', '']","
292,835
","
$50.87M
"
"Tre manifesti a Ebbing, Missouri",2017,115 min,"
Comedy, Crime, Drama            ",T,88        ,"
Martin McDonagh
","['', 'Frances McDormand ', 'Woody Harrelson ', 'Sam Rockwell ', 'Caleb Landry Jones', '']","
441,116
","
$54.51M
"
City of God,2002,130 min,"
Crime, Drama            ",VM14,79        ,"
Fernando Meirelles, 
Kátia Lund
","['', 'Alexandre Rodrigues ', 'Leandro Firmino ', 'Matheus Nachtergaele ', 'Phellipe Haagensen', '']","
704,316
","
$7.56M
"
Via col vento,1939,238 min,"
Drama, History, Romance            ",T,97        ,"
Victor Fleming, 
George Cukor, 
Sam Wood
","['', 'Clark Gable ', 'Vivien Leigh ', 'Thomas Mitchell ', ""Barbara O'Neil"", '']","
292,373
","
$198.68M
"
Requiem for a Dream,2000,102 min,"
Drama            ",VM14,68        ,"
Darren Aronofsky
","['', 'Ellen Burstyn ', 'Jared Leto ', 'Jennifer Connelly ', 'Marlon Wayans', '']","
773,710
","
$3.64M
"
12 anni schiavo,2013,134 min,"
Biography, Drama, History            ",T,96        ,"
Steve McQueen
","['', 'Chiwetel Ejiofor ', 'Michael Kenneth Williams ', 'Michael Fassbender ', 'Brad Pitt', '']","
646,603
","
$56.67M
"
I segreti di Brokeback Mountain,2005,134 min,"
Drama, Romance            ",VM14,87        ,"
Ang Lee
","['', 'Jake Gyllenhaal ', 'Heath Ledger ', 'Michelle Williams ', 'Randy Quaid', '']","
325,560
","
$83.04M
"
Quarto potere,1941,119 min,"
Drama, Mystery            ",T,100        ,"
Orson Welles
","['', 'Orson Welles ', 'Joseph Cotten ', 'Dorothy Comingore ', 'Agnes Moorehead', '']","
407,799
","
$1.59M
"
Una lunga domenica di passioni,2004,133 min,"
Drama, Mystery, Romance            ",R,76        ,"
Jean-Pierre Jeunet
","['', 'Audrey Tautou ', 'Gaspard Ulliel ', 'Jodie Foster ', 'Dominique Pinon', '']","
71,168
","
$6.17M
"
Il padrino - Parte III,1990,162 min,"
Crime, Drama            ",VM14,60        ,"
Francis Ford Coppola
","['', 'Al Pacino ', 'Diane Keaton ', 'Andy Garcia ', 'Talia Shire', '']","
363,561
","
$66.67M
"
The Wolf of Wall Street,2013,180 min,"
Biography, Crime, Drama            ",VM14,75        ,"
Martin Scorsese
","['', 'Leonardo DiCaprio ', 'Jonah Hill ', 'Margot Robbie ', 'Matthew McConaughey', '']","
1,206,382
","
$116.90M
"
Il curioso caso di Benjamin Button,2008,166 min,"
Drama, Fantasy, Romance            ",T,70        ,"
David Fincher
","['', 'Brad Pitt ', 'Cate Blanchett ', 'Tilda Swinton ', 'Julia Ormond', '']","
594,475
","
$127.51M
"
In the Mood for Love,2000,98 min,"
Drama, Romance            ",T,85        ,"
Kar-Wai Wong
","['', 'Tony Chiu-Wai Leung ', 'Maggie Cheung ', 'Ping Lam Siu ', ""Tung Cho 'Joe' Cheung"", '']","
126,842
","
$2.73M
"
La leggenda del pianista sull'oceano,1998,169 min,"
Drama, Music, Romance            ",T,58        ,"
Giuseppe Tornatore
","['', 'Tim Roth ', 'Pruitt Taylor Vince ', 'Mélanie Thierry ', 'Bill Nunn', '']","
59,522
","
$0.26M
"
A Beautiful Mind,2001,135 min,"
Biography, Drama            ",T,72        ,"
Ron Howard
","['', 'Russell Crowe ', 'Ed Harris ', 'Jennifer Connelly ', 'Christopher Plummer', '']","
856,961
","
$170.74M
"
L'amore bugiardo - Gone Girl,2014,149 min,"
Drama, Mystery, Thriller            ",VM14,79        ,"
David Fincher
","['', 'Ben Affleck ', 'Rosamund Pike ', 'Neil Patrick Harris ', 'Tyler Perry', '']","
871,571
","
$167.77M
"
Il silenzio degli innocenti,1991,118 min,"
Crime, Drama, Thriller            ",VM14,85        ,"
Jonathan Demme
","['', 'Jodie Foster ', 'Anthony Hopkins ', 'Lawrence A. Bonney ', 'Kasi Lemmons', '']","
1,284,965
","
$130.74M
"
The Sixth Sense - Il sesto senso,1999,107 min,"
Drama, Mystery, Thriller            ",VM14,64        ,"
M. Night Shyamalan
","['', 'Bruce Willis ', 'Haley Joel Osment ', 'Toni Collette ', 'Olivia Williams', '']","
917,584
","
$293.51M
"
Babel,I) (2006,143 min,"
Drama            ",T,69        ,"
Alejandro G. Iñárritu
","['', 'Brad Pitt ', 'Cate Blanchett ', 'Gael García Bernal ', 'Mohamed Akhzam', '']","
290,843
","
$34.30M
"
The Hateful Eight,2015,168 min,"
Crime, Drama, Mystery            ",T,68        ,"
Quentin Tarantino
","['', 'Samuel L. Jackson ', 'Kurt Russell ', 'Jennifer Jason Leigh ', 'Walton Goggins', '']","
523,999
","
$54.12M
"
La stangata,1973,129 min,"
Comedy, Crime, Drama            ",T,83        ,"
George Roy Hill
","['', 'Paul Newman ', 'Robert Redford ', 'Robert Shaw ', 'Charles Durning', '']","
243,317
","
$159.60M
"
La parola ai giurati,1957,96 min,"
Crime, Drama            ",T,96        ,"
Sidney Lumet
","['', 'Henry Fonda ', 'Lee J. Cobb ', 'Martin Balsam ', 'John Fiedler', '']","
698,281
","
$4.36M
"
The Millionaire,2008,120 min,"
Drama, Romance            ",T,84        ,"
Danny Boyle, 
Loveleen Tandan
","['', 'Dev Patel ', 'Freida Pinto ', 'Saurabh Shukla ', 'Anil Kapoor', '']","
803,329
","
$141.32M
"
Malèna,2000,108 min,"
Comedy, Drama, Romance            ",T,54        ,"
Giuseppe Tornatore
","['', 'Monica Bellucci ', 'Giuseppe Sulfaro ', 'Luciano Federico ', 'Matilde Piana', '']","
91,527
","
$3.43M
"
Casablanca,1942,102 min,"
Drama, Romance, War            ",T,100        ,"
Michael Curtiz
","['', 'Humphrey Bogart ', 'Ingrid Bergman ', 'Paul Henreid ', 'Claude Rains', '']","
526,503
","
$1.02M
"
American History X,1998,119 min,"
Drama            ",VM18,62        ,"
Tony Kaye
","['', 'Edward Norton ', 'Edward Furlong ', ""Beverly D'Angelo "", 'Jennifer Lien', '']","
1,042,167
","
$6.72M
"
Bastardi senza gloria,2009,153 min,"
Adventure, Drama, War            ",T,69        ,"
Quentin Tarantino
","['', 'Brad Pitt ', 'Diane Kruger ', 'Eli Roth ', 'Mélanie Laurent', '']","
1,282,588
","
$120.54M
"
Prova a prendermi,2002,141 min,"
Biography, Crime, Drama            ",T,75        ,"
Steven Spielberg
","['', 'Leonardo DiCaprio ', 'Tom Hanks ', 'Christopher Walken ', 'Martin Sheen', '']","
844,589
","
$164.62M
"
Se mi lasci ti cancello,2004,108 min,"
Drama, Romance, Sci-Fi            ",T,89        ,"
Michel Gondry
","['', 'Jim Carrey ', 'Kate Winslet ', 'Tom Wilkinson ', 'Gerry Robert Byrne', '']","
919,212
","
$34.40M
"
Oldboy,2003,120 min,"
Action, Drama, Mystery            ",VM18,77        ,"
Chan-wook Park
","['', 'Choi Min-sik ', 'Yoo Ji-Tae ', 'Kang Hye-jeong ', 'Kim Byeong-Ok', '']","
521,075
","
$0.71M
"
La La Land,2016,128 min,"
Comedy, Drama, Music            ",T,94        ,"
Damien Chazelle
","['', 'Ryan Gosling ', 'Emma Stone ', 'Rosemarie DeWitt ', 'J.K. Simmons', '']","
512,861
","
$151.10M
"
Arancia meccanica,1971,136 min,"
Crime, Drama, Sci-Fi            ",VM18,77        ,"
Stanley Kubrick
","['', 'Malcolm McDowell ', 'Patrick Magee ', 'Michael Bates ', 'Warren Clarke', '']","
763,923
","
$6.21M
"
La forma dell'acqua - The Shape of Water,2017,123 min,"
Adventure, Drama, Fantasy            ",VM14,87        ,"
Guillermo del Toro
","['', 'Sally Hawkins ', 'Octavia Spencer ', 'Michael Shannon ', 'Doug Jones', '']","
376,460
","
$63.86M
"
JFK - Un caso ancora aperto,1991,189 min,"
Drama, History, Thriller            ",T,72        ,"
Oliver Stone
","['', 'Kevin Costner ', 'Gary Oldman ', 'Jack Lemmon ', 'Walter Matthau', '']","
143,279
","
$70.41M
"
Prisoners,2013,153 min,"
Crime, Drama, Mystery            ",VM14,70        ,"
Denis Villeneuve
","['', 'Hugh Jackman ', 'Jake Gyllenhaal ', 'Viola Davis ', 'Melissa Leo', '']","
609,075
","
$61.00M
"
